NOT_ID,POLL_TYPE,POLLUTANT
927501,Specific Waste Materials,Other Non-Metal Wastes
897336,Sewage Materials,Other Sewage Material
927727,Pollutant Not Identified,Not Identified
928183,Pollutant Not Identified,Not Identified
928685,Sewage Materials,Crude Sewage
924776,Contaminated Water,Firefighting Run-Off
928864,Atmospheric Pollutants and Effects,Smoke
928864,Contaminated Water,Firefighting Run-Off
926116,Pollutant Not Identified,Not Identified
926320,Contaminated Water,Firefighting Run-Off
926320,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
922833,Pollutant Not Identified,Not Identified
926435,Sewage Materials,Other Sewage Material
915788,Sewage Materials,Process Effluent
841887,General Biodegradable Materials and Wastes,Composted Material
841887,General Biodegradable Materials and Wastes,Vegetable Cuttings and Deposits
841887,Sewage Materials,Crude Sewage
926732,Pollutant Not Identified,Not Identified
928963,Atmospheric Pollutants and Effects,Dust
908264,Other Pollutant,Other
928260,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
929139,Atmospheric Pollutants and Effects,Smoke
926005,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
928404,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
923276,Sewage Materials,Other Sewage Material
929849,Sewage Materials,Crude Sewage
930225,Atmospheric Pollutants and Effects,Effects on Humans
930605,Sewage Materials,Grey Water
930595,Pollutant Not Identified,Not Identified
897198,Oils and Fuel,Petrol
910519,General Biodegradable Materials and Wastes,Algae
929313,Sewage Materials,Crude Sewage
884865,Contaminated Water,Other Contaminated Water
931122,Oils and Fuel,Diesel
931123,Organic Chemicals/Products,Other Organic Chemical or Product
686276,Oils and Fuel,Gas and Fuel Oils
927581,Contaminated Water,Suspended Solids
927242,Pollutant Not Identified,Not Identified
927783,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
876090,Oils and Fuel,Kerosene and Aviation Fuel
898845,Pollutant Not Identified,Not Identified
898949,Contaminated Water,Suspended Solids
893889,Sewage Materials,Crude Sewage
905263,Specific Waste Materials,Household Waste
895730,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
910166,Pollutant Not Identified,Not Identified
907012,General Biodegradable Materials and Wastes,Algae
886868,Atmospheric Pollutants and Effects,Effects on Humans
899174,Atmospheric Pollutants and Effects,Effects on Humans
915385,Sewage Materials,Crude Sewage
915279,Atmospheric Pollutants and Effects,Smoke
915279,Oils and Fuel,Other Oil or Fuel
915561,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
899412,General Biodegradable Materials and Wastes,Algae
886333,Contaminated Water,Other Contaminated Water
898846,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
899161,Sewage Materials,Other Sewage Material
899801,General Biodegradable Materials and Wastes,Vegetable Cuttings and Deposits
899801,Contaminated Water,Urban Run-Off
899801,Pollutant Not Identified,Not Identified
906026,Sewage Materials,Crude Sewage
889514,Specific Waste Materials,Asbestos
910567,Organic Chemicals/Products,Pesticides and Biocides
908117,Pollutant Not Identified,Not Identified
908902,Atmospheric Pollutants and Effects,Effects on Humans
915215,Atmospheric Pollutants and Effects,Smoke
915215,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
915215,Specific Waste Materials,Asbestos
915215,Specific Waste Materials,Commercial Waste
904381,Contaminated Water,Urban Run-Off
899897,Sewage Materials,Grey Water
900189,Atmospheric Pollutants and Effects,Smoke
900189,Contaminated Water,Firefighting Run-Off
900159,Pollutant Not Identified,Not Identified
872895,Other Pollutant,Noise
893938,Sewage Materials,Crude Sewage
906401,Pollutant Not Identified,Not Identified
910812,Pollutant Not Identified,Not Identified
910833,Contaminated Water,Urban Run-Off
910832,Pollutant Not Identified,Not Identified
911277,Atmospheric Pollutants and Effects,Fumes
911087,Sewage Materials,Crude Sewage
911194,Sewage Materials,Crude Sewage
916340,Sewage Materials,Storm Sewage
916699,Inert Materials and Wastes,Other Inert Material or Waste
916699,Contaminated Water,Firefighting Run-Off
916699,Oils and Fuel,Gas and Fuel Oils
909658,General Biodegradable Materials and Wastes,Composted Material
908352,Sewage Materials,Crude Sewage
906110,General Biodegradable Materials and Wastes,Natural Organic Material
905808,Agricultural Materials and Wastes,Slurry and Dilute Slurry
904865,Agricultural Materials and Wastes,Slurry and Dilute Slurry
896453,Sewage Materials,Crude Sewage
911661,Atmospheric Pollutants and Effects,Smoke
911661,Contaminated Water,Firefighting Run-Off
913487,Sewage Materials,Other Sewage Material
857145,Inert Materials and Wastes,Mineral Materials and Wastes
900817,Sewage Materials,Other Sewage Material
867248,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
869905,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
899352,Atmospheric Pollutants and Effects,Effects on Humans
897639,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
897639,Specific Waste Materials,Asbestos
905594,Specific Waste Materials,Asbestos
905594,Specific Waste Materials,Contaminated Construction & Demolition Mat & Waste
911039,Pollutant Not Identified,Not Identified
905177,Organic Chemicals/Products,Pesticides and Biocides
912076,Atmospheric Pollutants and Effects,Smoke
912076,Contaminated Water,Firefighting Run-Off
912076,Oils and Fuel,Mixed/Waste Oils
909041,Agricultural Materials and Wastes,Solid Manure
915483,Contaminated Water,Other Contaminated Water
901168,Agricultural Materials and Wastes,Slurry and Dilute Slurry
890905,Atmospheric Pollutants and Effects,Smoke
890905,Oils and Fuel,Lubricating Oils
888428,Organic Chemicals/Products,Other Organic Chemical or Product
906180,Specific Waste Materials,Commercial Waste
907124,Pollutant Not Identified,Not Identified
907425,Atmospheric Pollutants and Effects,Smoke
897390,Sewage Materials,Crude Sewage
907572,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
910429,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
905868,Other Pollutant,Other
897467,Sewage Materials,Crude Sewage
903245,Sewage Materials,Crude Sewage
912707,Atmospheric Pollutants and Effects,Smoke
912707,Contaminated Water,Firefighting Run-Off
917722,Atmospheric Pollutants and Effects,Effects on Humans
917889,Sewage Materials,Crude Sewage
917825,Sewage Materials,Other Sewage Material
894085,Specific Waste Materials,Commercial Waste
894085,Specific Waste Materials,Household Waste
841985,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
841985,Specific Waste Materials,Commercial Waste
841985,Specific Waste Materials,Contaminated Soil
841985,Specific Waste Materials,Household Waste
885895,Sewage Materials,Crude Sewage
902161,Atmospheric Pollutants and Effects,Landfill Odour
902165,Oils and Fuel,Diesel
908135,Sewage Materials,Grey Water
908212,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
908396,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
912563,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
912563,Specific Waste Materials,Tyres
912799,Specific Waste Materials,Tyres
913276,Atmospheric Pollutants and Effects,Smoke
918515,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
918105,Sewage Materials,Crude Sewage
903766,Sewage Materials,Crude Sewage
902283,Sewage Materials,Crude Sewage
917029,Sewage Materials,Storm Sewage
902469,Sewage Materials,Other Sewage Material
899859,Sewage Materials,Crude Sewage
898774,Organic Chemicals/Products,Hydrocarbons
902707,Sewage Materials,Crude Sewage
902768,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
908415,General Biodegradable Materials and Wastes,Algae
908692,Specific Waste Materials,Asbestos
913239,Sewage Materials,Crude Sewage
906475,Sewage Materials,Crude Sewage
915363,Inorganic Chemicals/Products,Alkalis
919254,Sewage Materials,Crude Sewage
896729,Atmospheric Pollutants and Effects,Fumes
900500,Specific Waste Materials,Asbestos
900500,Specific Waste Materials,Commercial Waste
900500,Organic Chemicals/Products,Paints and Varnishes
897077,Sewage Materials,Grey Water
907064,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
907064,Specific Waste Materials,Vehicles and Vehicle Parts
903734,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
903734,Specific Waste Materials,Vehicles and Vehicle Parts
902067,Oils and Fuel,Diesel
915980,Sewage Materials,Crude Sewage
919782,Other Pollutant,Other
919617,Sewage Materials,Crude Sewage
914774,Sewage Materials,Storm Sewage
914680,Sewage Materials,Storm Sewage
887964,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
903353,Sewage Materials,Crude Sewage
903077,Pollutant Not Identified,Not Identified
903871,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
899759,Atmospheric Pollutants and Effects,Dust
899759,Atmospheric Pollutants and Effects,Smoke
903845,Other Pollutant,Microbiological
996828,Sewage Materials,Crude Sewage
996930,Other Pollutant,Other
994518,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
997111,Contaminated Water,Suspended Solids
1001328,Pollutant Not Identified,Not Identified
1002777,Other Pollutant,Other
1000503,Atmospheric Pollutants and Effects,Smoke
1000503,Specific Waste Materials,Asbestos
1000503,Specific Waste Materials,Commercial Waste
965669,Sewage Materials,Crude Sewage
1008433,Atmospheric Pollutants and Effects,Effects on Humans
1015649,Agricultural Materials and Wastes,Slurry and Dilute Slurry
1015875,Agricultural Materials and Wastes,Other Agricultural Material or Waste
1015856,Atmospheric Pollutants and Effects,Chemical Odour
1487692,Oils and Fuel,Gas and Fuel Oils
1006521,Agricultural Materials and Wastes,Slurry and Dilute Slurry
964039,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
964039,Specific Waste Materials,Commercial Waste
964039,Specific Waste Materials,Household Waste
964039,Specific Waste Materials,Contaminated Construction & Demolition Mat & Waste
1015058,Pollutant Not Identified,Not Identified
990485,Atmospheric Pollutants and Effects,Effects on Humans
1014924,Sewage Materials,Crude Sewage
1011293,Atmospheric Pollutants and Effects,Other Odour
1011293,Other Pollutant,Flies
1015618,Contaminated Water,Landfill Leachate
1491984,Agricultural Materials and Wastes,Silage Liquors
1491984,Agricultural Materials and Wastes,Other Agricultural Material or Waste
1491984,Sewage Materials,Crude Sewage
1491984,Contaminated Water,Vehicle and Plant Washings
1017358,Contaminated Water,Other Contaminated Water
1017226,General Biodegradable Materials and Wastes,Algae
1494797,Contaminated Water,Suspended Solids
1017753,Atmospheric Pollutants and Effects,Landfill Odour
1017757,Atmospheric Pollutants and Effects,Landfill Odour
1007812,Oils and Fuel,Diesel
1019772,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
1019899,Pollutant Not Identified,Not Identified
1019944,Sewage Materials,Crude Sewage
1018748,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
1013947,Specific Waste Materials,Commercial Waste
