NOT_ID,POLL_TYPE,POLLUTANT
4988,Atmospheric Pollutants and Effects,Chemical Odour
4994,Atmospheric Pollutants and Effects,Chemical Odour
5000,Atmospheric Pollutants and Effects,Chemical Odour
5008,Atmospheric Pollutants and Effects,Chemical Odour
5049,Atmospheric Pollutants and Effects,Chemical Odour
4605,Sewage Materials,Crude Sewage
4912,Organic Chemicals/Products,Dyes and Inks
4382,Other Pollutant,Other
4977,Other Pollutant,Other
4926,Pollutant Not Identified,Not Identified
4207,Specific Waste Materials,Asbestos
4207,Specific Waste Materials,Metal Wastes
4207,Specific Waste Materials,Tyres
5190,Other Pollutant,Other
4817,Atmospheric Pollutants and Effects,Effects on Humans
4680,Atmospheric Pollutants and Effects,Effects on Humans
4660,Atmospheric Pollutants and Effects,Effects on Humans
4659,Atmospheric Pollutants and Effects,Effects on Humans
4658,Atmospheric Pollutants and Effects,Effects on Humans
4657,Atmospheric Pollutants and Effects,Effects on Humans
4656,Atmospheric Pollutants and Effects,Effects on Humans
4655,Atmospheric Pollutants and Effects,Effects on Humans
4654,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4653,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4652,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4651,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4648,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4647,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4646,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
5253,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
5206,Oils and Fuel,Unidentified Oil
2598,Organic Chemicals/Products,Surfactants and Detergents
9414,Other Pollutant,Microbiological
9496,Organic Chemicals/Products,Hydrocarbons
6080,General Biodegradable Materials and Wastes,Algae
9785,Atmospheric Pollutants and Effects,Sulphide Odour
8672,Oils and Fuel,Diesel
4118,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4492,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4504,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
9219,Oils and Fuel,Unidentified Oil
4520,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
9708,Atmospheric Pollutants and Effects,Sulphide Odour
4553,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4844,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
6105,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
8110,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
9130,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
9545,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
12548,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
12542,Sewage Materials,Crude Sewage
11697,Atmospheric Pollutants and Effects,Landfill Odour
11837,Sewage Materials,Crude Sewage
4341,Atmospheric Pollutants and Effects,Landfill Odour
12546,Contaminated Water,Other Contaminated Water
16646,Contaminated Water,Urban Run-Off
14031,Oils and Fuel,Diesel
16687,Oils and Fuel,Gas and Fuel Oils
16445,Atmospheric Pollutants and Effects,Smoke
16203,Oils and Fuel,Gas and Fuel Oils
15767,Contaminated Water,Other Contaminated Water
16728,Pollutant Not Identified,Not Identified
16378,Sewage Materials,Storm Sewage
12155,Oils and Fuel,Mixed/Waste Oils
14371,Agricultural Materials and Wastes,Slurry and Dilute Slurry
3156,Sewage Materials,Crude Sewage
3360,Agricultural Materials and Wastes,Slurry and Dilute Slurry
4635,Atmospheric Pollutants and Effects,Chemical Odour
4183,Oils and Fuel,Gas and Fuel Oils
5618,Specific Waste Materials,Asbestos
4670,Atmospheric Pollutants and Effects,Chemical Odour
5562,Pollutant Not Identified,Not Identified
2424,Oils and Fuel,Insulating and Cable Oils
3218,Atmospheric Pollutants and Effects,Chemical Odour
5830,Agricultural Materials and Wastes,Carcasses
17754,Sewage Materials,Other Sewage Material
17767,Oils and Fuel,Gas and Fuel Oils
17374,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
17855,Contaminated Water,Suspended Solids
18105,Contaminated Water,Other Contaminated Water
17212,Agricultural Materials and Wastes,Slurry and Dilute Slurry
17722,Oils and Fuel,Mixed/Waste Oils
18597,Specific Waste Materials,Containers
18113,Oils and Fuel,Gas and Fuel Oils
18386,Agricultural Materials and Wastes,Silage Liquors
18502,Pollutant Not Identified,Not Identified
14969,Sewage Materials,Storm Sewage
18827,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18829,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
17941,Agricultural Materials and Wastes,Slurry and Dilute Slurry
16775,Oils and Fuel,Diesel
16772,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
16786,Sewage Materials,Grey Water
15639,Other Pollutant,Microbiological
17237,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
12185,Organic Chemicals/Products,Solvents
5928,Oils and Fuel,Gas and Fuel Oils
14557,Agricultural Materials and Wastes,Slurry and Dilute Slurry
13317,Sewage Materials,Crude Sewage
13732,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
13071,Sewage Materials,Crude Sewage
13595,Contaminated Water,Suspended Solids
14363,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
16832,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
17593,Oils and Fuel,Kerosene and Aviation Fuel
12225,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
9821,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18269,Atmospheric Pollutants and Effects,Dust
17928,Oils and Fuel,Diesel
18276,Oils and Fuel,Gas and Fuel Oils
17922,Other Pollutant,Microbiological
10872,Oils and Fuel,Diesel
17991,Organic Chemicals/Products,Paints and Varnishes
18047,Sewage Materials,Crude Sewage
17307,Sewage Materials,Crude Sewage
18464,Sewage Materials,Crude Sewage
19839,Sewage Materials,Crude Sewage
16256,Inert Materials and Wastes,Other Inert Material or Waste
20073,Other Pollutant,Microbiological
20539,Oils and Fuel,Gas and Fuel Oils
20445,Oils and Fuel,Diesel
20840,Sewage Materials,Sludge
19854,Atmospheric Pollutants and Effects,Chemical Odour
19683,Specific Waste Materials,Tyres
16404,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
21086,Pollutant Not Identified,Not Identified
16052,Atmospheric Pollutants and Effects,Smoke
16052,Contaminated Water,Firefighting Run-Off
19010,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18828,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18576,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18515,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
14395,Contaminated Water,Urban Run-Off
18027,Inorganic Chemicals/Products,Acids
18571,Other Pollutant,Natural Ochre
19079,Sewage Materials,Crude Sewage
17482,Pollutant Not Identified,Not Identified
16540,Atmospheric Pollutants and Effects,Smoke
18933,Atmospheric Pollutants and Effects,Effects on Humans
19567,Atmospheric Pollutants and Effects,Dust
11838,General Biodegradable Materials and Wastes,Other Animal Matter
18416,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
20151,Agricultural Materials and Wastes,Solid Manure
20211,Organic Chemicals/Products,Other Organic Chemical or Product
14482,Sewage Materials,Grey Water
18387,Sewage Materials,Crude Sewage
22846,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
23058,Pollutant Not Identified,Not Identified
23318,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
23527,Oils and Fuel,Diesel
21800,Other Pollutant,Other
23127,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
23127,Specific Waste Materials,Tyres
23127,Specific Waste Materials,Other Specific Waste Material
23824,Oils and Fuel,Gas and Fuel Oils
21254,Oils and Fuel,Gas and Fuel Oils
20475,Pollutant Not Identified,Not Identified
17782,Pollutant Not Identified,Not Identified
15483,Oils and Fuel,Other Oil or Fuel
18974,Sewage Materials,Other Sewage Material
21437,General Biodegradable Materials and Wastes,Food and Drink
20469,Oils and Fuel,Kerosene and Aviation Fuel
21107,Atmospheric Pollutants and Effects,Effects on Humans
21299,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
10360,Organic Chemicals/Products,Hydrocarbons
18048,Atmospheric Pollutants and Effects,Fumes
21862,Sewage Materials,Crude Sewage
22072,Oils and Fuel,Lubricating Oils
21209,General Biodegradable Materials and Wastes,Food and Drink
23105,Agricultural Materials and Wastes,Silage Liquors
23804,General Biodegradable Materials and Wastes,Food and Drink
23800,Pollutant Not Identified,Not Identified
23019,Sewage Materials,Storm Sewage
23460,Sewage Materials,Crude Sewage
9281,Specific Waste Materials,Tyres
23703,Oils and Fuel,Diesel
15431,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
15431,Specific Waste Materials,Asbestos
24021,Sewage Materials,Final Effluent
23969,Pollutant Not Identified,Not Identified
20913,Sewage Materials,Crude Sewage
25003,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
25670,Inorganic Chemicals/Products,Alkalis
25537,Specific Waste Materials,Organic Chemical Wastes
24223,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
16190,Inert Materials and Wastes,Soils and Clay
24025,Organic Chemicals/Products,Surfactants and Detergents
20853,Organic Chemicals/Products,Other Organic Chemical or Product
24853,Organic Chemicals/Products,Surfactants and Detergents
25767,Specific Waste Materials,Clinical Waste
24365,Specific Waste Materials,Tyres
13738,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
21544,Sewage Materials,Storm Sewage
21923,Other Pollutant,Other
22058,General Biodegradable Materials and Wastes,Food and Drink
14029,Other Pollutant,Other
22157,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
22368,Inert Materials and Wastes,Other Inert Material or Waste
22372,Inert Materials and Wastes,Other Inert Material or Waste
22244,Organic Chemicals/Products,Solvents
21769,Oils and Fuel,Diesel
23909,Agricultural Materials and Wastes,Fertiliser
23095,Inorganic Chemicals/Products,Cement
24357,Other Pollutant,Other
18611,Agricultural Materials and Wastes,Slurry and Dilute Slurry
23905,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
23542,Pollutant Not Identified,Not Identified
19908,Sewage Materials,Final Effluent
24468,Oils and Fuel,Unidentified Oil
23264,Sewage Materials,Crude Sewage
24596,Inert Materials and Wastes,Other Inert Material or Waste
25375,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
25684,Contaminated Water,Suspended Solids
25669,Organic Chemicals/Products,Surfactants and Detergents
23173,Sewage Materials,Storm Sewage
25531,General Biodegradable Materials and Wastes,Food and Drink
25836,Sewage Materials,Crude Sewage
26228,Oils and Fuel,Unidentified Oil
25441,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
25441,Specific Waste Materials,Asbestos
25441,Specific Waste Materials,Metal Wastes
25441,Specific Waste Materials,Organic Chemical Wastes
26070,General Biodegradable Materials and Wastes,Vegetable Cuttings and Deposits
21899,Agricultural Materials and Wastes,Slurry and Dilute Slurry
22545,Agricultural Materials and Wastes,Slurry and Dilute Slurry
22548,Agricultural Materials and Wastes,Slurry and Dilute Slurry
22526,Sewage Materials,Other Sewage Material
20281,Pollutant Not Identified,Not Identified
22702,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
22702,Inert Materials and Wastes,Soils and Clay
22702,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
22702,Specific Waste Materials,Commercial Waste
22702,Specific Waste Materials,Household Waste
22735,Oils and Fuel,Gas and Fuel Oils
22754,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
20890,Agricultural Materials and Wastes,Carcasses
21548,Oils and Fuel,Gas and Fuel Oils
22669,Inorganic Chemicals/Products,Acids
24420,Oils and Fuel,Mixed/Waste Oils
22958,Oils and Fuel,Gas and Fuel Oils
23941,Agricultural Materials and Wastes,Slurry and Dilute Slurry
24264,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
24616,Other Pollutant,Other
25845,Inert Materials and Wastes,Soils and Clay
25340,Oils and Fuel,Petrol
25752,Organic Chemicals/Products,Other Organic Chemical or Product
25975,Agricultural Materials and Wastes,Slurry and Dilute Slurry
23815,Inert Materials and Wastes,Mineral Materials and Wastes
26049,Sewage Materials,Crude Sewage
23726,Inert Materials and Wastes,Mineral Materials and Wastes
26018,Sewage Materials,Storm Sewage
16588,Sewage Materials,Storm Sewage
23007,Pollutant Not Identified,Not Identified
23101,Specific Waste Materials,Commercial Waste
22720,Inert Materials and Wastes,Rocks and Gravel
22898,Sewage Materials,Other Sewage Material
23182,Pollutant Not Identified,Not Identified
21259,Sewage Materials,Sludge
21858,Pollutant Not Identified,Not Identified
22002,Sewage Materials,Crude Sewage
22902,Specific Waste Materials,Contaminated Soil
20790,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
23625,Specific Waste Materials,Asbestos
24009,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
22307,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
20812,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
25082,Inert Materials and Wastes,Soils and Clay
24893,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
14307,Other Pollutant,Microbiological
102,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
371,Agricultural Materials and Wastes,Other Agricultural Material or Waste
418,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
340,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
3210,Atmospheric Pollutants and Effects,Chemical Odour
3148,Atmospheric Pollutants and Effects,Chemical Odour
4868,Organic Chemicals/Products,Dyes and Inks
5429,Other Pollutant,Natural Ochre
5774,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
5390,Inert Materials and Wastes,Soils and Clay
5258,Pollutant Not Identified,Not Identified
5259,Pollutant Not Identified,Not Identified
5950,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
5965,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
5992,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
5451,Contaminated Water,Chemically Contaminated Run-Off
6068,Sewage Materials,Final Effluent
6100,Atmospheric Pollutants and Effects,Chemical Odour
5758,Other Pollutant,Other
6883,Sewage Materials,Storm Sewage
6677,Sewage Materials,Crude Sewage
9440,Sewage Materials,Crude Sewage
9372,Atmospheric Pollutants and Effects,Smoke
9372,Contaminated Water,Firefighting Run-Off
9934,Inert Materials and Wastes,Other Inert Material or Waste
9504,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
9386,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
8697,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
8349,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
8730,Contaminated Water,Suspended Solids
8885,Atmospheric Pollutants and Effects,Sulphide Odour
9698,Inert Materials and Wastes,Soils and Clay
8433,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
10086,Agricultural Materials and Wastes,Slurry and Dilute Slurry
4399,Sewage Materials,Crude Sewage
2758,Sewage Materials,Crude Sewage
9492,Organic Chemicals/Products,Dyes and Inks
10016,Atmospheric Pollutants and Effects,Sulphide Odour
12817,Other Pollutant,Other
3659,Oils and Fuel,Diesel
5729,Sewage Materials,Grey Water
12538,Sewage Materials,Grey Water
11552,Inorganic Chemicals/Products,Acids
9700,Other Pollutant,Microbiological
8039,Oils and Fuel,Gas and Fuel Oils
11020,Inorganic Chemicals/Products,Cement
4228,Sewage Materials,Crude Sewage
11515,Agricultural Materials and Wastes,Slurry and Dilute Slurry
12544,Sewage Materials,Crude Sewage
13250,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
12585,Sewage Materials,Crude Sewage
494,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
664,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
587,Contaminated Water,Firefighting Run-Off
886,Atmospheric Pollutants and Effects,Smoke
846,Atmospheric Pollutants and Effects,Smoke
299,Oils and Fuel,Gas and Fuel Oils
1028,Agricultural Materials and Wastes,Carcasses
697,Inert Materials and Wastes,Other Inert Material or Waste
1120,Atmospheric Pollutants and Effects,Chemical Odour
1120,Atmospheric Pollutants and Effects,Effects on Humans
6308,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
6308,General Biodegradable Materials and Wastes,Vegetable Cuttings and Deposits
6308,Specific Waste Materials,Asbestos
6308,Specific Waste Materials,Household Waste
6308,Specific Waste Materials,Tyres
5345,Atmospheric Pollutants and Effects,Chemical Odour
6354,Atmospheric Pollutants and Effects,Chemical Odour
6425,Other Pollutant,Other
4468,Atmospheric Pollutants and Effects,Chemical Odour
4448,Atmospheric Pollutants and Effects,Chemical Odour
4878,Atmospheric Pollutants and Effects,Chemical Odour
3898,Atmospheric Pollutants and Effects,Chemical Odour
3838,Atmospheric Pollutants and Effects,Chemical Odour
3825,Atmospheric Pollutants and Effects,Chemical Odour
3749,Atmospheric Pollutants and Effects,Chemical Odour
3660,Atmospheric Pollutants and Effects,Chemical Odour
1485879,Oils and Fuel,Diesel
1490008,Oils and Fuel,Diesel
6217,Contaminated Water,Vehicle and Plant Washings
6599,Sewage Materials,Final Effluent
6603,Agricultural Materials and Wastes,Slurry and Dilute Slurry
4493,Other Pollutant,Other
6238,Atmospheric Pollutants and Effects,Landfill Odour
10429,Specific Waste Materials,Commercial Waste
10056,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
3639,Atmospheric Pollutants and Effects,Chemical Odour
4305,Atmospheric Pollutants and Effects,Chemical Odour
8824,Atmospheric Pollutants and Effects,Chemical Odour
9912,Sewage Materials,Sludge
8653,Atmospheric Pollutants and Effects,Chemical Odour
9157,Atmospheric Pollutants and Effects,Chemical Odour
10326,Inert Materials and Wastes,Soils and Clay
9403,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
3802,Atmospheric Pollutants and Effects,Chemical Odour
3930,Atmospheric Pollutants and Effects,Chemical Odour
3920,Atmospheric Pollutants and Effects,Chemical Odour
6516,Atmospheric Pollutants and Effects,Chemical Odour
13516,Organic Chemicals/Products,Hydrocarbons
8694,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
7894,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
11759,Atmospheric Pollutants and Effects,Chemical Odour
10738,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
12362,Oils and Fuel,Diesel
13543,Atmospheric Pollutants and Effects,Dust
10504,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
10504,Specific Waste Materials,Asbestos
13674,Sewage Materials,Storm Sewage
12915,Sewage Materials,Grey Water
1181,Pollutant Not Identified,Not Identified
1207,Atmospheric Pollutants and Effects,Effect on Animals
1208,Atmospheric Pollutants and Effects,Effect on Animals
1245,Agricultural Materials and Wastes,Slurry and Dilute Slurry
1475,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
1535,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
1238,Sewage Materials,Crude Sewage
692,Oils and Fuel,Gas and Fuel Oils
3006,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
6817,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
6558,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
5379,Contaminated Water,Firefighting Run-Off
6350,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
6886,Specific Waste Materials,Tyres
6147,Oils and Fuel,Diesel
6818,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
6825,Atmospheric Pollutants and Effects,Ammonia/Amine Odour
6446,Inert Materials and Wastes,Rocks and Gravel
10258,Inert Materials and Wastes,Soils and Clay
4357,Atmospheric Pollutants and Effects,Chemical Odour
3554,Atmospheric Pollutants and Effects,Chemical Odour
4369,Atmospheric Pollutants and Effects,Chemical Odour
10412,Organic Chemicals/Products,Other Organic Chemical or Product
7891,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
3858,Atmospheric Pollutants and Effects,Chemical Odour
9789,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
9590,Sewage Materials,Storm Sewage
7834,Agricultural Materials and Wastes,Slurry and Dilute Slurry
5091,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
10338,Inert Materials and Wastes,Soils and Clay
10267,Inert Materials and Wastes,Soils and Clay
6815,Agricultural Materials and Wastes,Slurry and Dilute Slurry
8467,General Biodegradable Materials and Wastes,Food and Drink
8252,Oils and Fuel,Kerosene and Aviation Fuel
13715,Pollutant Not Identified,Not Identified
11345,Specific Waste Materials,Other Specific Waste Material
14051,Sewage Materials,Crude Sewage
9662,Atmospheric Pollutants and Effects,Fumes
13748,Atmospheric Pollutants and Effects,Dust
13652,Other Pollutant,Other
13263,Specific Waste Materials,Asbestos
10400,Pollutant Not Identified,Not Identified
1332,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
875,Other Pollutant,Other
1557,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
1557,General Biodegradable Materials and Wastes,Vegetable Cuttings and Deposits
1557,Specific Waste Materials,Household Waste
1703,Atmospheric Pollutants and Effects,Chemical Odour
1720,Specific Waste Materials,Household Waste
1454,Contaminated Water,Dairy Washings
1482827,Specific Waste Materials,Vehicles and Vehicle Parts
3041,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
5401,Inert Materials and Wastes,Soils and Clay
7001,Oils and Fuel,Mixed/Waste Oils
7583,Other Pollutant,Other
3353,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
7422,General Biodegradable Materials and Wastes,Algae
6846,General Biodegradable Materials and Wastes,Natural Organic Material
7722,Atmospheric Pollutants and Effects,Smoke
7722,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
7722,Oils and Fuel,Gas and Fuel Oils
11048,Oils and Fuel,Gas and Fuel Oils
11099,Other Pollutant,Other
10321,Pollutant Not Identified,Not Identified
11078,Contaminated Water,Firefighting Run-Off
10740,Atmospheric Pollutants and Effects,Smoke
10740,Atmospheric Pollutants and Effects,Soot/Smuts
10740,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
10740,Contaminated Water,Firefighting Run-Off
10200,Contaminated Water,Other Contaminated Water
5185,Agricultural Materials and Wastes,Slurry and Dilute Slurry
9437,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
10701,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
13067,Oils and Fuel,Diesel
11774,Specific Waste Materials,Asbestos
14212,Contaminated Water,Urban Run-Off
14348,Contaminated Water,Suspended Solids
14523,General Biodegradable Materials and Wastes,Food and Drink
6635,Agricultural Materials and Wastes,Slurry and Dilute Slurry
14692,Atmospheric Pollutants and Effects,Effects on Humans
3542,Sewage Materials,Other Sewage Material
14560,Contaminated Water,Other Contaminated Water
13367,Other Pollutant,Other
2273,Atmospheric Pollutants and Effects,Fumes
2390,Pollutant Not Identified,Not Identified
2322,Pollutant Not Identified,Not Identified
1354,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
2576,General Biodegradable Materials and Wastes,Natural Organic Material
2576,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
1879,Pollutant Not Identified,Not Identified
2606,Atmospheric Pollutants and Effects,Chemical Odour
2609,Other Pollutant,Other
2408,Atmospheric Pollutants and Effects,Chemical Odour
2435,Atmospheric Pollutants and Effects,Chemical Odour
1039,Pollutant Not Identified,Not Identified
1134,Other Pollutant,Other
2699,Specific Waste Materials,Asbestos
2714,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4476,Atmospheric Pollutants and Effects,Chemical Odour
4498,Atmospheric Pollutants and Effects,Chemical Odour
7803,Oils and Fuel,Diesel
4521,Atmospheric Pollutants and Effects,Chemical Odour
7804,Other Pollutant,Other
4583,Atmospheric Pollutants and Effects,Chemical Odour
4741,Atmospheric Pollutants and Effects,Chemical Odour
7944,Inert Materials and Wastes,Soils and Clay
7847,Oils and Fuel,Gas and Fuel Oils
6755,Oils and Fuel,Unidentified Oil
8011,Sewage Materials,Crude Sewage
3762,Specific Waste Materials,Metal Wastes
10796,Other Pollutant,Other
10680,Inert Materials and Wastes,Soils and Clay
10680,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
9950,Specific Waste Materials,Clinical Waste
11231,Organic Chemicals/Products,Hydrocarbons
11611,Oils and Fuel,Gas and Fuel Oils
11198,Sewage Materials,Crude Sewage
11147,Sewage Materials,Crude Sewage
11665,Other Pollutant,Other
11657,General Biodegradable Materials and Wastes,Food and Drink
11519,Atmospheric Pollutants and Effects,Chemical Odour
11700,Organic Chemicals/Products,Other Organic Chemical or Product
11526,Sewage Materials,Crude Sewage
4790,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4754,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4735,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4711,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4703,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
11781,Agricultural Materials and Wastes,Silage Liquors
11798,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
14792,Oils and Fuel,Kerosene and Aviation Fuel
4126,Oils and Fuel,Gas and Fuel Oils
14588,Agricultural Materials and Wastes,Other Agricultural Material or Waste
14549,Atmospheric Pollutants and Effects,Smoke
14549,Contaminated Water,Firefighting Run-Off
14549,Oils and Fuel,Mixed/Waste Oils
14732,Sewage Materials,Crude Sewage
4249,Sewage Materials,Crude Sewage
13837,Atmospheric Pollutants and Effects,Chemical Odour
14962,Other Pollutant,Microbiological
15052,Oils and Fuel,Gas and Fuel Oils
14311,Pollutant Not Identified,Not Identified
12814,Sewage Materials,Crude Sewage
4860,Contaminated Water,Firefighting Run-Off
14580,Pollutant Not Identified,Not Identified
11420,Other Pollutant,Natural Ochre
13933,Atmospheric Pollutants and Effects,Dust
15037,Contaminated Water,Other Contaminated Water
11831,Sewage Materials,Crude Sewage
14720,Contaminated Water,Landfill Leachate
2856,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
1636,Atmospheric Pollutants and Effects,Chemical Odour
2934,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
2954,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
2942,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
2938,Atmospheric Pollutants and Effects,Chemical Odour
3056,Atmospheric Pollutants and Effects,Chemical Odour
3039,Atmospheric Pollutants and Effects,Chemical Odour
2977,Atmospheric Pollutants and Effects,Chemical Odour
2971,Atmospheric Pollutants and Effects,Chemical Odour
2948,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
2946,Atmospheric Pollutants and Effects,Chemical Odour
2943,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
2941,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
2939,Atmospheric Pollutants and Effects,Chemical Odour
2926,Atmospheric Pollutants and Effects,Chemical Odour
2918,Atmospheric Pollutants and Effects,Chemical Odour
2916,Atmospheric Pollutants and Effects,Chemical Odour
2913,Atmospheric Pollutants and Effects,Chemical Odour
3139,Atmospheric Pollutants and Effects,Chemical Odour
2962,Agricultural Materials and Wastes,Other Agricultural Material or Waste
7124,Sewage Materials,Crude Sewage
3131,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
7108,Agricultural Materials and Wastes,Slurry and Dilute Slurry
2967,Atmospheric Pollutants and Effects,Chemical Odour
3706,Atmospheric Pollutants and Effects,Chemical Odour
