Date,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,pH Water,Temp Water,Cond @ 25C
2025-07-25,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-07-25T10:00:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.12,NA,NA
2025-08-11,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-08-11T10:46:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.25,NA,NA
2025-09-23,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-09-23T09:38:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.98,NA,NA
2025-10-13,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-10-13T11:57:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.66,NA,NA
2025-11-07,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-11-07T09:35:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.83,NA,NA
2025-12-10,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-12-10T10:01:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.72,NA,NA
2021-05-13,SW-C0182100,ASHFORD FISH FARM 2  FORDINGBRIDGE,413500,114100,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-05-13T12:14:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.03,NA,NA
2021-07-30,SW-C0182100,ASHFORD FISH FARM 2  FORDINGBRIDGE,413500,114100,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-07-30T10:34:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.77,NA,NA
2022-08-04,SW-C0182100,ASHFORD FISH FARM 2  FORDINGBRIDGE,413500,114100,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2022-08-04T10:36:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.97,NA,NA
2024-05-02,SW-C0182100,ASHFORD FISH FARM 2  FORDINGBRIDGE,413500,114100,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-05-02T10:16:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.72,NA,NA
2025-04-28,SW-C0182100,ASHFORD FISH FARM 2  FORDINGBRIDGE,413500,114100,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-04-28T13:26:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.91,NA,NA
2020-01-08,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2020-01-08T09:51:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,8.09,10,577
2020-02-13,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2020-02-13T09:12:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,8,7.5,521
2020-03-02,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2020-03-02T12:41:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,8.24,7.9,504
2020-11-11,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2020-11-11T10:39:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,7.78,11.5,564
2020-12-08,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2020-12-08T10:35:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,7.8,6.2,550
2021-01-06,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2021-01-06T11:02:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,8.11,6.4,575
2021-02-05,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2021-02-05T10:10:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,8.04,8.3,534
2021-03-09,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2021-03-09T11:11:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,8.18,8.1,567
2021-04-28,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2021-04-28T12:34:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,8.21,11.6,546
2021-05-12,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2021-05-12T13:20:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,8.18,13.8,551
2021-06-08,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2021-06-08T11:35:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,8.14,16.5,553
2021-07-27,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2021-07-27T10:08:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,7.85,18.4,550
2021-08-17,SW-50280545,AVON DOWNSTREAM BICKTON GQA,414640,111310,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,2021-08-17T11:24:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,7.99,16.5,566
